date,drawdown
2021-03-12,-0.0003462140704545552
2021-03-15,-0.004114102265791236
2021-03-16,-0.004429966401498102
2021-03-17,-0.018986694363792262
2021-03-18,-0.032775681384136925
2021-03-19,-0.036110801991405414
2021-03-22,-0.02862673289696873
2021-03-23,-0.01619899665363874
2021-03-24,-0.0313683436691722
2021-03-25,-0.04825077589046151
2021-03-26,-0.038820938757203834
2021-03-30,-0.025455726751668982
2021-03-31,-0.01673293069086574
2021-04-01,-0.005305618222550386
2021-04-05,-0.015340205907446178
2021-04-06,-0.006973740562013388
2021-04-07,-0.0006294801280991766
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,-0.04151913528743203
2021-04-13,-0.033968787600364904
2021-04-15,-0.032032316732419304
2021-04-16,-0.02911150094823746
2021-04-19,-0.035894148480542544
2021-04-20,-0.03126683857521076
2021-04-22,-0.02490970357441645
2021-04-23,-0.023266536383543448
2021-04-26,-0.016146145223094096
2021-04-27,-0.004865063643564918
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,-0.001568133237251598
2021-05-03,0.0
2021-05-04,-0.0002210481622362486
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,-0.007067156690394813
2021-05-14,-0.013862869588356596
2021-05-17,-0.00657449689389221
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,-0.006720711537459808
2021-05-31,-0.005375547845235763
2021-06-01,-0.007169099434867775
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,-0.01107357544834691
2021-06-10,-0.0014663547499705223
2021-06-11,-0.0027738876980027993
2021-06-14,-0.00877315651838633
2021-06-15,-0.005102275247172705
2021-06-16,-0.009773034655117035
2021-06-17,-0.015079081270814207
2021-06-18,-0.016759196181883974
2021-06-21,-0.012912512161354923
2021-06-22,-0.0074536370192644025
2021-06-23,-0.004017492373556946
2021-06-24,-0.0033891973206062235
2021-06-25,0.0
2021-06-28,0.0
2021-06-29,-0.00279800210743134
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,-0.004843718176298628
2021-07-09,-0.004167064839992301
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,-0.0017756639976285935
2021-07-16,-0.0025176616338769002
2021-07-19,-0.0042923755705116815
2021-07-20,-0.0180141065056377
2021-07-22,-0.010482022945873167
2021-07-23,-0.008162924059724647
2021-07-26,-0.008057467289400001
2021-07-27,-0.01296833256695075
2021-07-28,-0.01557529993425573
2021-07-29,-0.0034781732987258064
2021-07-30,0.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,-0.008788180414294584
2021-08-05,-0.013110837283314889
2021-08-06,-0.014907009772268625
2021-08-09,-0.01995621888302694
2021-08-10,-0.03434345712918807
2021-08-11,-0.045257719265101345
2021-08-12,-0.033440201366820535
2021-08-13,-0.030803747242532133
2021-08-16,-0.034881086989827344
2021-08-17,-0.03193916135381214
2021-08-18,-0.033965612366990604
2021-08-20,-0.04772404925516647
2021-08-23,-0.0594767132017268
2021-08-24,-0.05001649546163322
2021-08-25,-0.04568819911855021
2021-08-26,-0.03976675135276876
2021-08-27,-0.033641342608388344
2021-08-30,-0.01640053048652684
2021-08-31,-0.007251423732222763
2021-09-01,-0.006873578970025164
